dataset,strategy,model_type,parameter,dataset_time,doc_time
MSN30KF1,aux,ranker,0,1.52641,2.0254E-06
MSN30KF1,aux,clf,0,0.404605,5.36888E-07
MSN30KF1,prefix,clf,0,0.498687,6.617299E-07
ISTELLA-FULL,aux,ranker,0,5.79062,1.85063E-06
ISTELLA-FULL,aux,clf,0,1.00465,3.210766E-07
ISTELLA-FULL,prefix,clf,0,1.32231,4.225977E-07
MSN30KF1,baseline,baseline,0,21.2091,2.8143E-05
ISTELLA-FULL,baseline,baseline,0,143.045,4.5716E-05
MSN30KF1,prefix,ept,0.36,11.58584,1.53737E-05
MSN30KF1,prefix,ept,0.42,12.17415,1.61544E-05
MSN30KF1,prefix,lear,0.65,6.25491,8.30588E-06
MSN30KF1,prefix,lear,0.82,5.26278,6.98342E-06
MSN30KF1,aux,ept,0.42,4.46809,5.9289E-06
MSN30KF1,aux,ept,0.36,4.08615,5.4221E-06
MSN30KF1,aux,lear,0.61,4.13611,5.48838E-06
MSN30KF1,aux,lear,0.86,3.13738,4.13738E-06
ISTELLA-FULL,prefix,ept,1.37,24.9394,7.97122E-06
ISTELLA-FULL,prefix,ept,1.5,25.9343,8.28837E-06
ISTELLA-FULL,prefix,lear,0.44,24.7747,7.91777E-06
ISTELLA-FULL,prefix,lear,0.31,26.498,8.46852E-06
ISTELLA-FULL,aux,ept,1.12,8.98512,2.87156E-06
ISTELLA-FULL,aux,ept,1.25,9.46917,3.02626E-06
ISTELLA-FULL,aux,lear,0.44,11.7768,3.76375E-06
ISTELLA-FULL,aux,lear,0.77,9.11011,2.91151E-06
